,objID,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
11,1237665102219248049,21.01107,0.2741568,18.77415,0.01660114,17.26531,0.007708962,16.73761,0.006808366999999999,16.34662,0.01648397,0.242554,0.013597,2.4376910117748347e+18,234.2514,24.412391,0.22755140000000001,5.133021e-05
12,1237665102219248050,23.78376,0.9388956,21.08965,0.0427695,19.61577,0.0199334,19.09656,0.01718091,18.79478,0.04628759,0.22992800000000002,0.015915000000000002,,,,,
13,1237665102219248586,22.45535,0.3122457,21.145979999999998,0.04137652,19.78015,0.02100124,19.32069,0.01889457,18.9182,0.04742775,0.289926,0.06488300000000001,,,,,
14,1237665102219248605,22.9318,0.5082824,21.73463,0.07264389,20.28884,0.03344297,19.80602,0.02944282,19.56094,0.08830668,0.326121,0.067824,,,,,
15,1237665102219248652,22.44525,0.2561518,21.55159,0.04873482,20.14861,0.02393434,19.58076,0.01964595,19.23179,0.05095194,0.34574499999999997,0.059638,,,,,
16,1237665102219248669,23.72474,1.1603809999999999,21.17736,0.056115,19.83115,0.02833412,19.3581,0.02499722,18.976229999999997,0.06722139,0.19731700000000002,0.025568,,,,,
17,1237665102219248671,24.386129999999998,0.9760726999999999,21.52819,0.05157282,20.372429999999998,0.03046318,19.91749,0.02683462,19.733710000000002,0.08394958,0.295417,0.079086,,,,,
18,1237665102219247683,23.580189999999998,0.6565139,21.55334,0.05080845,20.31138,0.02809628,19.706139999999998,0.02234531,19.51483,0.06718838,0.207571,0.024516,,,,,
19,1237665102219247684,22.3919,0.2252156,21.438370000000003,0.04143027,24.8022,0.6575698,24.3618,0.5702381,19.82607,0.07408422,0.44488,0.22219699999999998,,,,,
20,1237665102219248066,22.60536,0.39002790000000004,20.72172,0.03205155,19.42999,0.01725733,18.89338,0.01478851,18.4856,0.03666114,0.187493,0.017292,,,,,
21,1237665102219248538,22.76285,0.4230149,20.91153,0.03572673,20.02326,0.02614871,19.53576,0.02302693,19.27991,0.0673064,0.079438,0.026602999999999998,,,,,
22,1237665102219248569,21.93354,0.19578120000000002,21.30203,0.04590786,20.79241,0.04591568,20.49815,0.04710937,20.188589999999998,0.1360343,0.200577,0.073351,,,,,
23,1237665102219248642,25.7821,0.8534209,20.892879999999998,0.0407306,19.5791,0.02125639,19.1229,0.01924925,18.85744,0.05495276,0.198113,0.031287,,,,,
24,1237665102219248646,23.32181,0.8214556999999999,21.38504,0.06369095,19.81304,0.02629947,19.22212,0.02145914,18.84101,0.05841701,0.277321,0.024403,,,,,
25,1237665102219248728,23.735979999999998,0.9228146,21.323420000000002,0.05152685,19.97084,0.02608876,19.507179999999998,0.02324743,19.15833,0.06315627,0.21211100000000002,0.013387999999999999,,,,,
26,1237665102219248739,23.38393,0.5710564,21.38655,0.0445,20.0396,0.02291089,19.58628,0.02035088,19.33442,0.05839508,0.268178,0.045697,,,,,
27,1237665102219248742,21.90448,0.2043152,20.79264,0.03225271,19.982120000000002,0.02501131,19.65319,0.02493658,19.26588,0.06594761,0.238742,0.049678,,,,,
28,1237665102219247730,13.7447,0.003664355,11.67538,0.0005623919000000001,11.31274,0.0005534114,11.22195,0.0005162978,13.889429999999999,0.02001022,0.12325799999999999,-1000.0,,,,,
29,1237665102219247731,24.63349,1.053667,21.71594,0.0626415,20.04126,0.02478517,19.47663,0.02025208,19.44962,0.06958610000000001,0.3533,0.060037,,,,,
30,1237665102219247904,19.93594,0.07044363,18.68481,0.01297238,18.05357,0.00950791,17.68321,0.009225548,17.48339,0.02656902,0.10650699999999999,0.022895,,,,,
31,1237665102219247910,25.5766,0.7114057,21.67135,0.05911466,20.479979999999998,0.034073,19.98718,0.02936755,19.65758,0.08035588,0.16671,0.039008,,,,,
32,1237665102219248021,23.60383,0.8858153,20.46462,0.02731899,19.09848,0.01628954,18.57395,0.01212442,18.1369,0.0287127,0.22844899999999999,0.051191,,,,,
33,1237665102219248028,25.7181,0.8450038000000001,20.55775,0.03033576,19.208579999999998,0.01571248,18.661920000000002,0.01349379,18.31342,0.03407409,0.218786,0.029416,,,,,
34,1237665102219248043,22.01826,0.2768636,20.29184,0.02646267,18.95196,0.01390109,18.406229999999997,0.01195347,18.074189999999998,0.03036246,0.22160900000000003,0.024298,,,,,
35,1237665102219248065,22.41856,0.3567888,20.74427,0.03498119,19.287679999999998,0.01662709,18.79344,0.01471981,18.43176,0.03730634,0.231973,0.017200999999999998,,,,,
36,1237665102219248071,23.52376,0.6491536,21.05106,0.03531061,19.5701,0.01683434,19.07163,0.01473682,18.74596,0.03746895,0.23532199999999998,0.019844,,,,,
37,1237665102219248144,23.1472,0.7268685,20.76998,0.03812503,19.37438,0.01858006,18.794220000000003,0.01544029,18.46461,0.0419215,0.219952,0.020599,,,,,
38,1237665102219248214,20.4156,0.6146706999999999,21.11456,0.44436309999999996,28.43137,0.7696384000000001,27.74965,0.9024742,26.331329999999998,0.808068,0.399782,0.17471199999999998,,,,,
39,1237665102219248498,21.17911,0.1598985,20.32246,0.03179413,19.92742,0.03381702,19.713910000000002,0.0391667,19.38265,0.11693980000000001,0.137321,0.055227,,,,,
40,1237665102219248499,21.62271,0.24501520000000002,20.5669,0.04129719,19.29505,0.02091103,18.80404,0.01860233,18.46571,0.05128341,0.315304,0.062956,,,,,
41,1237665102219248500,21.81515,0.26711599999999996,21.83194,0.1066694,21.2911,0.1072778,21.21465,0.1504192,21.09915,0.47434560000000003,0.345905,0.157879,,,,,
42,1237665102219248526,22.33154,0.31423840000000003,20.83475,0.03570084,19.83127,0.02382312,19.31867,0.020588299999999997,19.08393,0.06167258,0.165498,0.029117,,,,,
43,1237665102219248542,22.826810000000002,0.4112795,21.615879999999997,0.05753025,20.25964,0.02894849,19.747239999999998,0.02475104,19.37613,0.06571697,0.36663,0.12071099999999998,,,,,
44,1237665102219248582,24.09383,0.9582645000000001,21.560679999999998,0.05529778,20.365679999999998,0.03154515,19.848329999999997,0.02710082,19.36101,0.06622653,0.14569000000000001,0.022545,,,,,
45,1237665102219248629,23.33911,0.818685,20.98886,0.04518375,19.59972,0.022179900000000002,19.10857,0.01964472,18.77553,0.0530025,0.21139299999999997,0.01247,,,,,
46,1237665102219248632,22.1717,0.2994124,21.91928,0.09406081,20.597179999999998,0.04879925,19.91861,0.03610727,19.45231,0.09248054,0.5085390000000001,0.098038,,,,,
47,1237665102219248656,25.26602,0.8690308000000001,21.95156,0.07331002,20.78499,0.04283112,20.3591,0.03912314,19.80102,0.09098348,0.307419,0.096108,,,,,
48,1237665102219248688,22.91747,0.45848829999999996,21.20534,0.04325244,19.78501,0.02097056,19.2214,0.01745347,18.892,0.04604698,0.23946900000000002,0.018093,,,,,
49,1237665102219248700,23.63954,0.8087739,21.58526,0.05940689,20.17401,0.02856008,19.650920000000003,0.02426553,19.32382,0.06661505,0.233969,0.022275,,,,,
50,1237665102219248731,22.9272,0.4229852,21.75131,0.06134413,20.37571,0.0304151,19.914379999999998,0.02714027,19.50756,0.06992452,0.32941,0.073031,,,,,
51,1237665102219248774,23.51543,0.7460154,21.0313,0.03826114,19.7465,0.02060221,19.27673,0.01834312,18.98351,0.0510659,0.19539600000000001,0.026973,,,,,
52,1237665102219248791,23.07088,0.47891940000000005,21.814420000000002,0.066014,20.93335,0.04867262,20.59696,0.04787971,20.28523,0.14008679999999998,0.2332,0.032556,,,,,
53,1237665102219247666,22.19061,0.47117429999999993,19.83377,0.02428228,18.4498,0.01200767,17.93768,0.01069234,17.56767,0.02764896,0.212479,0.012114,,,,,
54,1237665102219247770,24.71315,5.955569000000001,20.39015,0.2553026,18.06629,0.02861422,17.60879,0.02166613,23.33375,3.845994,0.43118900000000004,0.086235,,,,,
55,1237665102219248081,22.84966,0.4443567,20.43196,0.02493215,19.058220000000002,0.01301307,18.51875,0.01116278,18.23612,0.02871463,0.208294,0.015444,,,,,
56,1237665102219248082,22.26158,0.3028925,20.748929999999998,0.03386234,19.584329999999998,0.02007616,19.15806,0.01840757,18.90737,0.05274934,0.22637100000000002,0.037708,,,,,
57,1237665102219248083,24.88946,0.9962281999999999,21.48753,0.05086201,20.0574,0.02436499,19.55011,0.02084894,19.20497,0.05535980000000001,0.246198,0.024215,,,,,
58,1237665102219248086,22.0165,0.28937579999999996,19.95403,0.02125685,18.461879999999997,0.01021011,17.92934,0.008928613,17.59633,0.02175898,0.238108,0.012223999999999999,,,,,
59,1237665102219248089,21.86581,0.2273895,19.89929,0.01888276,18.476110000000002,0.009724155,17.96699,0.008664719,17.59768,0.02006577,0.222455,0.012256,,,,,
60,1237665102219248095,21.79465,0.2829348,19.83598,0.0221033,18.35973,0.01061832,17.84929,0.009427448,17.50199,0.02324015,0.23869200000000002,0.014639,,,,,
61,1237665102219248201,21.59112,0.1406559,20.95675,0.03346436,20.17204,0.02643201,20.03741,0.03026978,19.64465,0.08042087,0.343906,0.039547000000000006,,,,,
62,1237665102219248474,22.2482,0.3683038,21.237029999999997,0.06051353,20.65202,0.05708598,20.33436,0.06050115,20.363129999999998,0.23358130000000002,0.143653,0.050828,,,,,
63,1237665102219248501,22.75187,0.7344106,21.78453,0.1231912,20.613570000000003,0.07071571,20.17292,0.06459106,19.8002,0.1817009,0.29738600000000004,0.058126,,,,,
64,1237665102219248566,21.33912,0.26049429999999996,21.80164,0.1573201,20.98312,0.1197809,20.091079999999998,0.07623106,19.769560000000002,0.2241942,0.6813739999999999,0.176518,,,,,
65,1237665102219248636,23.53991,0.7134951,21.75336,0.06632660000000001,20.51318,0.03634,20.06034,0.03250563,19.78879,0.09614655,0.22405999999999998,0.020584,,,,,
66,1237665102219248660,24.34394,1.152935,21.41747,0.05351318,20.022779999999997,0.02636051,19.47133,0.02209442,19.31269,0.06856731,0.251685,0.056803,,,,,
67,1237665102219248694,23.56448,0.6427774,21.78697,0.06117278,20.55661,0.03405339,20.03355,0.02857563,19.75768,0.08272414,0.19858,0.023162000000000002,,,,,
68,1237665102219248698,21.91873,0.29575450000000003,21.04156,0.05478237,20.73614,0.06792007,20.56741,0.0770063,20.06475,0.1902904,0.11217200000000001,0.071618,,,,,
69,1237665102219248709,23.525389999999998,0.8075498999999999,21.18396,0.04665103,19.87161,0.02443533,19.341479999999997,0.02082434,18.92144,0.05240152,0.181198,0.01,,,,,
70,1237665102219248715,23.08604,0.5422094,21.97162,0.08442651,20.665789999999998,0.04354622,20.14836,0.03681434,19.89235,0.1116877,0.308703,0.065604,,,,,
71,1237665102219248718,23.378629999999998,0.8879654,21.40265,0.06598625,20.24651,0.0389145,19.90275,0.03974288,19.499779999999998,0.10378720000000001,0.156656,0.015844,,,,,
72,1237665102219248824,23.16096,0.6154826999999999,21.96935,0.08694071,21.29616,0.07720196,20.9144,0.07493679,20.713729999999998,0.23713879999999998,0.134384,0.029016000000000004,,,,,
73,1237665102219248837,22.546020000000002,0.337294,21.69209,0.06450347,20.44635,0.03515416,19.94396,0.0304291,19.73594,0.09476371,0.336907,0.081048,,,,,
74,1237665102219248861,23.37975,0.8617988999999999,21.72956,0.08565301,20.210379999999997,0.03643035,19.60612,0.02960649,19.13741,0.07381289,0.28029499999999996,0.045624,,,,,
