tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err,separation,interloper,LOSV,LOSV_err
NE,1.0,34.0,250.089578112,46.7233334722,1.23765171587e+18,250.090073126,46.7236332448,23.31045,0.9291064,20.87146,0.05417898,20.11981,0.0460794,20.06402,0.07245024,21.29786,0.7320758,0.210328,0.120209,,,,,,c250p08+46p7,0.0,0.10144,0.00029,0.0886123372091,YES,-30528.4071324,141.372679277
NE,1.0,110.0,250.099911884,46.7147501389,1.23765171587e+18,250.09949688,46.7146562807,21.00653,0.1130834,19.06836,0.01198127,17.81068,0.007088206,17.36713,0.00749601,17.10221,0.01741819,0.23634,0.019343,7.05951921944e+17,250.09951,46.714652,0.2338521,3.60037e-05,c250p08+46p7,0.0,0.23332,5e-05,0.16138932111,NO,1616.81518329,24.3745998754
NE,1.0,133.0,250.082412057,46.71136125,1.23765171587e+18,250.082552979,46.711474891,19.91712,0.1449456,18.07225,0.01426637,16.61238,0.006952377,16.09929,0.007294642,15.85031,0.0193181,0.243826,0.016468,,,,,,c250p08+46p7,0.0,0.22382,8e-05,0.000729689654493,NO,-698.77180487,38.9993598006
NE,1.0,156.0,250.107120481,46.7095834722,1.23765171587e+18,250.107578844,46.7094088735,21.99762,0.2274429,19.64635,0.01620293,18.35621,0.009224889,17.85547,0.009388782,17.5116,0.02117314,0.196012,0.01288,,,,,,c250p08+46p7,0.0,0.2099,0.00011,0.213902873549,YES,-4091.71610753,53.6241197259
NE,1.0,183.0,250.101328988,46.7061668056,1.23765171587e+18,250.101469449,46.7060550767,22.45122,0.3123876,20.68235,0.03302042,19.33242,0.0174189,18.85641,0.0181883,18.6924,0.05101906,0.265936,0.030733,,,,,,c250p08+46p7,0.0,0.22479,0.00019,0.183611603001,NO,-462.338186079,92.6234795265
NE,1.0,211.0,250.098454168,46.7026390278,1.23765171587e+18,250.098548746,46.7027823471,21.15597,0.174369,19.1248,0.01534965,17.62476,0.007506924,17.08353,0.007520885,16.7281,0.01697693,0.253217,0.013671,6.78596211841e+18,250.09855,46.702837,0.2292574,3.388055e-05,c250p08+46p7,0.0,0.22867,8e-05,0.185362089756,NO,483.396289086,38.9993598006
NE,2.0,65.0,250.093953315,46.71936125,1.23765171587e+18,250.094154855,46.7197040805,21.9045,0.1824179,20.74739,0.03204558,19.72952,0.02159432,19.11538,0.02045037,18.86359,0.05465678,0.29071,0.054695,,,,,,c250p08+46p7,1.0,0.18134,0.00018,0.125695947662,YES,-11053.1018319,87.7485595514
NE,2.0,81.0,250.0983284,46.7176945833,1.23765171587e+18,250.098736589,46.7180185554,22.18946,0.2722011,20.09649,0.0225048,18.61591,0.01096622,18.07429,0.01090255,17.76127,0.02574906,0.245704,0.011714,,,,,,c250p08+46p7,0.0,0.23243,0.00014,0.171924831867,NO,1399.8812444,68.2488796511
NE,2.0,95.0,250.096828492,46.7158890278,1.23765171587e+18,250.096748009,46.7161235643,23.31837,0.5947058,20.7044,0.03193583,19.32081,0.01653319,18.81747,0.01680947,18.50389,0.04091702,0.217071,0.014274,,,,,,c250p08+46p7,0.0,0.22638,8e-05,0.141105069235,NO,-74.7820480602,38.9993598006
NE,2.0,122.0,250.091078661,46.7125834722,1.23765171587e+18,250.091744785,46.7127881004,22.46217,0.2484898,20.25843,0.02069034,18.83715,0.01077314,18.30499,0.01050016,17.96042,0.02291251,0.228215,0.011549,,,,,,c250p08+46p7,0.0,0.20792,0.00015,0.0789362782578,YES,-4574.33318506,73.1237996262
